feature,importance
status_clean,73.06316197304963
source_count,9.421371468510221
no_response_count,8.96707894062302
qualification_encoded,3.9660550765863887
branch_Main,3.459761759726122
busy_count,1.1225707815046206
branch_Main Branch,0.0
branch_Unknown,0.0
branch_Kashmir,0.0
branch_Hyderabad,0.0
source_encoded,0.0
whatsapp_sent_count,0.0
engagement_score,0.0
time_to_first_contact,0.0
last_activity_gap,0.0
lead_age_weeks,0.0
lead_age_days,0.0
country_encoded,0.0
days_since_last_note,0.0
unique_authors,0.0
avg_note_length,0.0
sentiment_score,0.0
country,0.0
branch,0.0
location,0.0
qualification,0.0
source,0.0
course,0.0
status,0.0
priority,0.0
last_contact_at,0.0
experience,0.0
score,0.0
not_answering_count,0.0
communicationscount,0.0
assigned_to,0.0
lead_score,0.0
churn_risk,0.0
notes_count,0.0
callback_flag,0.0
not_interested_flag,0.0
lead_quality_score,0.0
